year,month,close
2015,July,2079.649902
2015,June,2063.110107
2015,May,2107.389893
2015,April,2085.51001
2015,March,2067.889893
2015,February,2104.5
2015,January,1994.98999
2014,December,2058.899902
2014,November,2067.560059
2014,October,2018.050049
2014,September,1972.290039
2014,August,2003.369995
2014,July,1930.670044
2014,June,1960.22998
2014,May,1923.569946
2014,April,1883.949951
2014,March,1872.339966
2014,February,1859.449951
2014,January,1782.589966
2013,December,1848.359985
2013,November,1805.810059
2013,October,1756.540039
2013,September,1681.550049
2013,August,1632.969971
2013,July,1685.72998
2013,June,1606.280029
2013,May,1630.73999
2013,April,1597.569946
2013,March,1569.189941
2013,February,1514.680054
2013,January,1498.109985
2012,December,1426.189941
2012,November,1416.180054
2012,October,1412.160034
2012,September,1440.670044
2012,August,1406.579956
2012,July,1379.319946
2012,June,1362.160034
2012,May,1310.329956
2012,April,1397.910034
2012,March,1408.469971
2012,February,1365.680054
2012,January,1312.410034
2011,December,1257.599976
2011,November,1246.959961
2011,October,1253.300049
2011,September,1131.420044
2011,August,1218.890015
2011,July,1292.280029
2011,June,1320.640015
2011,May,1345.199951
2011,April,1363.609985
2011,March,1325.829956
2011,February,1327.219971
2011,January,1286.119995
2010,December,1257.640015
2010,November,1180.550049
2010,October,1183.26001
2010,September,1141.199951
2010,August,1049.329956
2010,July,1101.599976
2010,June,1030.709961
2010,May,1089.410034
2010,April,1186.689941
2010,March,1169.430054
2010,February,1104.48999
2010,January,1073.869995
2009,December,1115.099976
2009,November,1095.630005
2009,October,1036.189941
2009,September,1057.079956
2009,August,1020.619995
2009,July,987.47998
2009,June,919.320007
2009,May,919.140015
2009,April,872.809998
2009,March,797.869995
2009,February,735.090027
2009,January,825.880005
2008,December,903.25
2008,November,896.23999
2008,October,968.75
2008,September,1166.359985
2008,August,1282.829956
2008,July,1267.380005
2008,June,1280
2008,May,1400.380005
2008,April,1385.589966
2008,March,1322.699951
2008,February,1330.630005
2008,January,1378.550049
2007,December,1468.359985
2007,November,1481.140015
2007,October,1549.380005
2007,September,1526.75
2007,August,1473.98999
2007,July,1455.27002
2007,June,1503.349976
2007,May,1530.619995
2007,April,1482.369995
2007,March,1420.859985
2007,February,1406.819946
2007,January,1438.23999
2006,December,1418.300049
2006,November,1400.630005
2006,October,1377.939941
2006,September,1335.849976
2006,August,1303.819946
2006,July,1276.660034
